Applied Scholarship,Scholarship Level,Age,Race,Household Income,Field of Study,SPM Result (As),STPM CGPA,A-Level (As),Matriculation CGPA,Foundation CGPA,UG CGPA,Co-curricular Score,Eligibility Status,Application Status
MARA Scholarship,UG,42,Bumiputera Sabah / Sarawak,"RM194,436",Sciences,10,N/A,N/A,3.63,N/A,N/A,49,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,30,Indian,"RM22,636",Sciences,11,N/A,N/A,N/A,N/A,3.93,57,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,25,Bumiputera Sabah / Sarawak,"RM53,049",Business and Finance,10,N/A,5,N/A,N/A,N/A,41,Not Eligible,Rejected
JPA Scholarship,PG,32,Indian,"RM36,107",Computer Science and IT,10,N/A,N/A,N/A,N/A,3.81,61,Eligible,Accepted
Gamuda Scholarship,UG,20,Bumiputera Sabah / Sarawak,"RM22,967",Business and Finance,7,3.71,N/A,N/A,N/A,N/A,65,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,20,Malay,"RM85,961",Computer Science and IT,8,3.6,N/A,N/A,N/A,N/A,62,Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Chinese,"RM113,644",Computer Science and IT,7,N/A,N/A,3.83,N/A,N/A,55,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,20,Bumiputera Sabah / Sarawak,"RM63,133",Business and Finance,8,N/A,4,N/A,N/A,N/A,55,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,21,Malay,"RM51,595",Sciences,3,N/A,N/A,N/A,4.0,N/A,63,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Chinese,"RM183,137",Business and Finance,8,N/A,4,N/A,N/A,N/A,55,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,25,Bumiputera Sabah / Sarawak,"RM102,405",Business and Finance,10,N/A,N/A,N/A,2.25,N/A,53,Not Eligible,Rejected
MARA Scholarship,UG,33,Bumiputera Sabah / Sarawak,"RM134,420",Law and Social Sciences,11,N/A,N/A,N/A,2.91,N/A,71,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,20,Other,"RM84,860",Law and Social Sciences,5,N/A,0,N/A,N/A,N/A,62,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,37,Bumiputera Sabah / Sarawak,"RM11,441",Sciences,6,N/A,N/A,N/A,N/A,3.54,64,Eligible,Accepted
JPA Scholarship,PG,44,Chinese,"RM59,831",Medicine and Health Care,8,N/A,N/A,N/A,N/A,3.74,51,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,37,Indian,"RM120,703",Engineering,9,N/A,N/A,N/A,N/A,3.65,80,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,25,Bumiputera Sabah / Sarawak,"RM47,599",Sciences,10,N/A,0,N/A,N/A,N/A,51,Not Eligible,Rejected
JPA Scholarship,PG,37,Chinese,"RM132,048",Law and Social Sciences,5,N/A,N/A,N/A,N/A,3.92,80,Eligible,Rejected
MARA Scholarship,PG,41,Bumiputera Sabah / Sarawak,"RM120,254",Medicine and Health Care,8,N/A,N/A,N/A,N/A,3.01,83,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,22,Indian,"RM94,715",Engineering,10,N/A,N/A,N/A,3.42,N/A,89,Eligible,Accepted
JPA Scholarship,UG,24,Bumiputera Sabah / Sarawak,"RM42,973",Computer Science and IT,9,N/A,4,N/A,N/A,N/A,46,Not Eligible,Rejected
JPA Scholarship,UG,18,Bumiputera Sabah / Sarawak,"RM49,879",Business and Finance,12,N/A,N/A,N/A,3.85,N/A,46,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,22,Other,"RM63,863",Computer Science and IT,1,N/A,N/A,3.95,N/A,N/A,74,Not Eligible,Rejected
MARA Scholarship,UG,34,Bumiputera Sabah / Sarawak,"RM154,299",Computer Science and IT,6,2.82,N/A,N/A,N/A,N/A,82,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,21,Indian,"RM2,109",Engineering,12,N/A,0,N/A,N/A,N/A,55,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Bumiputera Sabah / Sarawak,"RM33,697",Sciences,6,N/A,N/A,N/A,3.54,N/A,42,Eligible,Accepted
JPA Scholarship,PG,37,Chinese,"RM79,255",Sciences,5,N/A,N/A,N/A,N/A,2.54,57,Not Eligible,Rejected
JPA Scholarship,PG,24,Other,"RM22,241",Engineering,7,N/A,N/A,N/A,N/A,3.95,63,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Chinese,"RM22,570",Computer Science and IT,7,N/A,N/A,N/A,3.95,N/A,52,Not Eligible,Rejected
JPA Scholarship,UG,19,Malay,"RM32,348",Engineering,9,N/A,N/A,3.85,N/A,N/A,74,Eligible,Accepted
Shell Malaysia Scholarship,UG,18,Chinese,"RM33,189",Engineering,4,N/A,N/A,3.89,N/A,N/A,67,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Malay,"RM41,735",Computer Science and IT,8,N/A,N/A,3.66,N/A,N/A,54,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Bumiputera Sabah / Sarawak,"RM21,212",Computer Science and IT,10,N/A,N/A,3.03,N/A,N/A,43,Not Eligible,Rejected
MARA Scholarship,PG,32,Malay,"RM63,560",Business and Finance,5,N/A,N/A,N/A,N/A,3.7,95,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,22,Bumiputera Sabah / Sarawak,"RM54,810",Law and Social Sciences,7,3.08,N/A,N/A,N/A,N/A,85,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,24,Malay,"RM38,995",Sciences,11,N/A,N/A,N/A,N/A,3.82,81,Eligible,Accepted
MARA Scholarship,PG,44,Bumiputera Sabah / Sarawak,"RM138,432",Law and Social Sciences,5,N/A,N/A,N/A,N/A,3.6,68,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Other,"RM71,695",Business and Finance,8,3.88,N/A,N/A,N/A,N/A,60,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,20,Indian,"RM43,200",Computer Science and IT,5,N/A,N/A,3.94,N/A,N/A,70,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,23,Malay,"RM173,361",Business and Finance,11,3.6,N/A,N/A,N/A,N/A,64,Eligible,Accepted
JPA Scholarship,UG,19,Malay,"RM58,673",Sciences,4,N/A,N/A,N/A,3.81,N/A,65,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,31,Malay,"RM118,357",Law and Social Sciences,6,N/A,N/A,N/A,N/A,3.5,81,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,19,Malay,"RM180,424",Engineering,5,N/A,N/A,3.64,N/A,N/A,71,Not Eligible,Rejected
Gamuda Scholarship,UG,18,Other,"RM44,171",Business and Finance,5,N/A,N/A,3.68,N/A,N/A,56,Eligible,Accepted
Shell Malaysia Scholarship,UG,24,Other,"RM31,271",Business and Finance,10,N/A,N/A,3.69,N/A,N/A,71,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Malay,"RM12,057",Sciences,7,N/A,N/A,N/A,3.42,N/A,72,Eligible,Accepted
Yayasan Sime Darby Scholarship ,PG,45,Malay,"RM119,287",Law and Social Sciences,8,N/A,N/A,N/A,N/A,3.93,52,Not Eligible,Rejected
MARA Scholarship,UG,25,Bumiputera Sabah / Sarawak,"RM213,675",Medicine and Health Care,8,N/A,N/A,N/A,3.82,N/A,53,Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,44,Chinese,"RM81,600",Law and Social Sciences,6,N/A,N/A,N/A,N/A,3.79,73,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Other,"RM64,032",Sciences,7,N/A,N/A,N/A,3.72,N/A,62,Eligible,Rejected
JPA Scholarship,PG,37,Indian,"RM85,557",Medicine and Health Care,9,N/A,N/A,N/A,N/A,2.46,96,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,22,Malay,"RM109,573",Business and Finance,12,N/A,3,N/A,N/A,N/A,81,Eligible,Accepted
MARA Scholarship,UG,40,Malay,"RM216,429",Engineering,5,2.14,N/A,N/A,N/A,N/A,74,Not Eligible,Rejected
JPA Scholarship,PG,40,Other,"RM123,823",Law and Social Sciences,12,N/A,N/A,N/A,N/A,3.71,95,Eligible,Accepted
Yayasan Khazanah Scholarship ,PG,42,Indian,"RM60,410",Sciences,12,N/A,N/A,N/A,N/A,3.84,49,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,21,Other,"RM69,694",Computer Science and IT,9,3.98,N/A,N/A,N/A,N/A,91,Eligible,Rejected
JPA Scholarship,UG,19,Chinese,"RM81,814",Engineering,12,N/A,N/A,3.93,N/A,N/A,67,Not Eligible,Rejected
MARA Scholarship,UG,24,Bumiputera Sabah / Sarawak,"RM135,717",Engineering,8,3.81,N/A,N/A,N/A,N/A,80,Eligible,Rejected
JPA Scholarship,PG,40,Chinese,"RM59,099",Engineering,8,N/A,N/A,N/A,N/A,2.43,55,Not Eligible,Rejected
JPA Scholarship,PG,25,Chinese,"RM103,596",Medicine and Health Care,12,N/A,N/A,N/A,N/A,3.77,83,Eligible,Accepted
Yayasan Khazanah Scholarship ,PG,24,Other,"RM65,236",Law and Social Sciences,9,N/A,N/A,N/A,N/A,2.14,84,Not Eligible,Rejected
MARA Scholarship,UG,37,Malay,"RM185,798",Business and Finance,6,N/A,N/A,3.56,N/A,N/A,59,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,21,Malay,"RM216,469",Law and Social Sciences,9,N/A,2,N/A,N/A,N/A,92,Not Eligible,Rejected
MARA Scholarship,UG,24,Malay,"RM58,836",Law and Social Sciences,5,3.28,N/A,N/A,N/A,N/A,74,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,27,Malay,"RM71,226",Law and Social Sciences,8,N/A,N/A,3.73,N/A,N/A,76,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Bumiputera Sabah / Sarawak,"RM68,781",Engineering,10,N/A,N/A,3.22,N/A,N/A,54,Eligible,Accepted
Gamuda Scholarship,UG,18,Bumiputera Sabah / Sarawak,"RM95,960",Engineering,11,N/A,1,N/A,N/A,N/A,72,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Other,"RM54,015",Law and Social Sciences,9,N/A,N/A,3.68,N/A,N/A,60,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,21,Indian,"RM124,573",Computer Science and IT,10,N/A,N/A,2.04,N/A,N/A,36,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,25,Chinese,"RM39,797",Sciences,12,N/A,N/A,N/A,3.86,N/A,67,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,19,Malay,"RM57,634",Sciences,11,N/A,N/A,2.72,N/A,N/A,87,Not Eligible,Rejected
JPA Scholarship,PG,32,Bumiputera Sabah / Sarawak,"RM13,588",Engineering,6,N/A,N/A,N/A,N/A,3.88,64,Eligible,Accepted
Yayasan Sime Darby Scholarship ,PG,27,Chinese,"RM63,856",Engineering,5,N/A,N/A,N/A,N/A,2.36,83,Not Eligible,Rejected
MARA Scholarship,PG,33,Malay,"RM68,150",Sciences,10,N/A,N/A,N/A,N/A,3.58,53,Eligible,Accepted
Shell Malaysia Scholarship,UG,19,Indian,"RM6,765",Sciences,5,N/A,N/A,3.0,N/A,N/A,82,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,27,Other,"RM16,706",Business and Finance,11,N/A,N/A,N/A,N/A,3.81,66,Eligible,Accepted
JPA Scholarship,PG,45,Chinese,"RM11,453",Business and Finance,9,N/A,N/A,N/A,N/A,3.9,77,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Bumiputera Sabah / Sarawak,"RM15,718",Engineering,9,N/A,N/A,3.86,N/A,N/A,75,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,29,Malay,"RM61,022",Law and Social Sciences,12,N/A,4,N/A,N/A,N/A,45,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Chinese,"RM19,214",Sciences,12,N/A,N/A,3.63,N/A,N/A,68,Eligible,Accepted
JPA Scholarship,UG,18,Bumiputera Sabah / Sarawak,"RM106,610",Computer Science and IT,12,N/A,3,N/A,N/A,N/A,64,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Malay,"RM119,192",Computer Science and IT,11,N/A,N/A,3.9,N/A,N/A,35,Eligible,Accepted
MARA Scholarship,UG,25,Bumiputera Sabah / Sarawak,"RM246,027",Medicine and Health Care,8,3.6,N/A,N/A,N/A,N/A,57,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,36,Other,"RM36,660",Engineering,7,N/A,N/A,N/A,N/A,3.83,71,Eligible,Accepted
MARA Scholarship,UG,33,Chinese,"RM200,389",Sciences,5,N/A,N/A,2.97,N/A,N/A,78,Not Eligible,Rejected
MARA Scholarship,PG,33,Malay,"RM83,462",Sciences,9,N/A,N/A,N/A,N/A,3.03,48,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,26,Bumiputera Sabah / Sarawak,"RM16,060",Sciences,8,N/A,N/A,N/A,3.54,N/A,71,Not Eligible,Rejected
MARA Scholarship,UG,28,Bumiputera Sabah / Sarawak,"RM134,135",Medicine and Health Care,10,N/A,N/A,3.49,N/A,N/A,60,Eligible,Accepted
JPA Scholarship,PG,38,Bumiputera Sabah / Sarawak,"RM135,824",Engineering,5,N/A,N/A,N/A,N/A,2.26,63,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,23,Chinese,"RM63,837",Law and Social Sciences,8,N/A,N/A,N/A,3.82,N/A,59,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,25,Bumiputera Sabah / Sarawak,"RM13,413",Business and Finance,9,N/A,4,N/A,N/A,N/A,47,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,31,Other,"RM130,401",Law and Social Sciences,7,N/A,N/A,N/A,N/A,3.73,35,Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,18,Other,"RM161,231",Law and Social Sciences,12,N/A,N/A,3.42,N/A,N/A,39,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,24,Chinese,"RM109,377",Sciences,9,N/A,N/A,N/A,3.75,N/A,87,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,23,Indian,"RM32,384",Business and Finance,9,N/A,N/A,3.73,N/A,N/A,48,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,36,Chinese,"RM37,416",Law and Social Sciences,9,N/A,N/A,N/A,N/A,3.67,77,Eligible,Accepted
JPA Scholarship,PG,25,Malay,"RM150,148",Law and Social Sciences,7,N/A,N/A,N/A,N/A,2.51,43,Not Eligible,Rejected
MARA Scholarship,UG,28,Malay,"RM120,285",Medicine and Health Care,6,N/A,N/A,N/A,2.93,N/A,85,Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,41,Indian,"RM99,239",Sciences,8,N/A,N/A,N/A,N/A,3.81,82,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,37,Indian,"RM24,910",Engineering,12,N/A,N/A,N/A,N/A,3.95,54,Eligible,Rejected
Shell Malaysia Scholarship,UG,20,Bumiputera Sabah / Sarawak,"RM97,864",Computer Science and IT,11,N/A,N/A,3.56,N/A,N/A,61,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,23,Chinese,"RM66,928",Law and Social Sciences,8,N/A,N/A,3.84,N/A,N/A,41,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,24,Malay,"RM74,324",Computer Science and IT,12,N/A,5,N/A,N/A,N/A,59,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Bumiputera Sabah / Sarawak,"RM28,203",Sciences,8,N/A,3,N/A,N/A,N/A,58,Eligible,Accepted
Yayasan Sime Darby Scholarship ,PG,45,Chinese,"RM120,962",Business and Finance,8,N/A,N/A,N/A,N/A,3.6,67,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,24,Indian,"RM31,891",Business and Finance,9,3.59,N/A,N/A,N/A,N/A,84,Eligible,Accepted
MARA Scholarship,PG,38,Bumiputera Sabah / Sarawak,"RM279,111",Business and Finance,10,N/A,N/A,N/A,N/A,3.13,65,Not Eligible,Rejected
JPA Scholarship,PG,25,Other,"RM82,868",Medicine and Health Care,12,N/A,N/A,N/A,N/A,3.92,70,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,24,Bumiputera Sabah / Sarawak,"RM42,227",Business and Finance,8,N/A,5,N/A,N/A,N/A,71,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,28,Malay,"RM144,729",Computer Science and IT,9,N/A,N/A,N/A,N/A,3.89,46,Eligible,Rejected
JPA Scholarship,UG,21,Bumiputera Sabah / Sarawak,"RM29,400",Sciences,11,3.86,N/A,N/A,N/A,N/A,79,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Bumiputera Sabah / Sarawak,"RM32,677",Computer Science and IT,8,N/A,5,N/A,N/A,N/A,60,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Other,"RM47,748",Law and Social Sciences,7,N/A,N/A,N/A,4.0,N/A,69,Not Eligible,Rejected
JPA Scholarship,PG,32,Other,"RM10,096",Sciences,5,N/A,N/A,N/A,N/A,3.83,53,Eligible,Accepted
JPA Scholarship,UG,18,Chinese,"RM49,998",Engineering,10,N/A,N/A,N/A,2.29,N/A,49,Not Eligible,Rejected
MARA Scholarship,UG,32,Malay,"RM226,443",Sciences,11,N/A,N/A,N/A,3.23,N/A,59,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,26,Bumiputera Sabah / Sarawak,"RM59,134",Business and Finance,9,N/A,4,N/A,N/A,N/A,72,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,31,Malay,"RM163,060",Business and Finance,8,N/A,N/A,N/A,N/A,3.6,100,Eligible,Accepted
Yayasan Khazanah Scholarship ,PG,33,Bumiputera Sabah / Sarawak,"RM70,110",Medicine and Health Care,10,N/A,N/A,N/A,N/A,2.29,46,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,18,Indian,"RM96,111",Law and Social Sciences,11,N/A,N/A,3.75,N/A,N/A,78,Eligible,Accepted
MARA Scholarship,PG,27,Other,"RM220,643",Medicine and Health Care,8,N/A,N/A,N/A,N/A,3.67,45,Not Eligible,Rejected
MARA Scholarship,UG,22,Malay,"RM84,708",Computer Science and IT,12,N/A,N/A,3.22,N/A,N/A,65,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,23,Malay,"RM29,177",Computer Science and IT,9,N/A,N/A,3.97,N/A,N/A,64,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Bumiputera Sabah / Sarawak,"RM117,367",Computer Science and IT,9,N/A,N/A,3.87,N/A,N/A,60,Eligible,Accepted
MARA Scholarship,UG,44,Malay,"RM212,529",Business and Finance,5,N/A,N/A,3.41,N/A,N/A,68,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,19,Bumiputera Sabah / Sarawak,"RM100,351",Computer Science and IT,12,N/A,5,N/A,N/A,N/A,38,Eligible,Accepted
JPA Scholarship,UG,23,Indian,"RM7,811",Engineering,9,N/A,3,N/A,N/A,N/A,60,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,19,Indian,"RM61,894",Sciences,9,N/A,5,N/A,N/A,N/A,72,Eligible,Rejected
Gamuda Scholarship,UG,23,Chinese,"RM27,798",Law and Social Sciences,6,N/A,N/A,3.81,N/A,N/A,79,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,18,Malay,"RM91,853",Law and Social Sciences,10,N/A,N/A,N/A,3.99,N/A,62,Eligible,Accepted
MARA Scholarship,PG,39,Bumiputera Sabah / Sarawak,"RM56,869",Business and Finance,12,N/A,N/A,N/A,N/A,2.31,40,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Indian,"RM81,331",Business and Finance,11,N/A,N/A,N/A,3.6,N/A,61,Eligible,Accepted
Gamuda Scholarship,UG,19,Malay,"RM60,854",Sciences,8,N/A,1,N/A,N/A,N/A,58,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,28,Other,"RM14,765",Sciences,6,N/A,N/A,N/A,N/A,3.5,59,Eligible,Accepted
JPA Scholarship,UG,23,Chinese,"RM48,970",Sciences,12,N/A,4,N/A,N/A,N/A,66,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Other,"RM30,019",Sciences,12,N/A,N/A,3.93,N/A,N/A,41,Eligible,Accepted
Shell Malaysia Scholarship,UG,20,Chinese,"RM112,853",Sciences,12,N/A,N/A,3.45,N/A,N/A,67,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Malay,"RM132,682",Engineering,11,N/A,N/A,3.26,N/A,N/A,45,Eligible,Accepted
MARA Scholarship,PG,43,Malay,"RM118,405",Medicine and Health Care,9,N/A,N/A,N/A,N/A,3.96,84,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,29,Chinese,"RM112,453",Law and Social Sciences,8,N/A,N/A,N/A,N/A,3.86,69,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,23,Bumiputera Sabah / Sarawak,"RM24,061",Computer Science and IT,12,N/A,N/A,3.45,N/A,N/A,47,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Bumiputera Sabah / Sarawak,"RM60,624",Computer Science and IT,12,N/A,N/A,3.76,N/A,N/A,67,Eligible,Accepted
Shell Malaysia Scholarship,UG,19,Bumiputera Sabah / Sarawak,"RM67,216",Engineering,4,N/A,N/A,3.43,N/A,N/A,55,Not Eligible,Rejected
MARA Scholarship,PG,34,Bumiputera Sabah / Sarawak,"RM171,764",Business and Finance,11,N/A,N/A,N/A,N/A,3.76,81,Eligible,Accepted
JPA Scholarship,UG,19,Indian,"RM25,602",Sciences,2,3.91,N/A,N/A,N/A,N/A,73,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,40,Malay,"RM57,579",Sciences,12,N/A,N/A,N/A,N/A,3.89,44,Eligible,Accepted
Yayasan Sime Darby Scholarship ,PG,28,Malay,"RM158,118",Computer Science and IT,12,N/A,N/A,N/A,N/A,3.56,43,Not Eligible,Rejected
MARA Scholarship,PG,25,Malay,"RM181,166",Law and Social Sciences,10,N/A,N/A,N/A,N/A,3.71,78,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,23,Chinese,"RM147,993",Engineering,5,N/A,5,N/A,N/A,N/A,54,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Indian,"RM125,797",Engineering,9,N/A,N/A,3.29,N/A,N/A,85,Eligible,Accepted
Yayasan Sime Darby Scholarship ,PG,36,Malay,"RM145,937",Computer Science and IT,8,N/A,N/A,N/A,N/A,3.76,39,Not Eligible,Rejected
JPA Scholarship,UG,18,Indian,"RM35,293",Engineering,9,N/A,N/A,3.84,N/A,N/A,73,Eligible,Accepted
Shell Malaysia Scholarship,UG,18,Bumiputera Sabah / Sarawak,"RM18,697",Business and Finance,0,N/A,N/A,3.19,N/A,N/A,87,Not Eligible,Rejected
Gamuda Scholarship,UG,18,Indian,"RM16,481",Sciences,12,3.75,N/A,N/A,N/A,N/A,92,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,20,Other,"RM54,286",Business and Finance,12,N/A,0,N/A,N/A,N/A,78,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,25,Chinese,"RM30,799",Business and Finance,8,N/A,N/A,N/A,N/A,3.97,79,Eligible,Accepted
Gamuda Scholarship,UG,19,Bumiputera Sabah / Sarawak,"RM9,032",Computer Science and IT,11,N/A,1,N/A,N/A,N/A,59,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Bumiputera Sabah / Sarawak,"RM27,594",Engineering,12,N/A,4,N/A,N/A,N/A,85,Eligible,Accepted
Yayasan Sime Darby Scholarship ,PG,28,Bumiputera Sabah / Sarawak,"RM141,256",Business and Finance,9,N/A,N/A,N/A,N/A,3.65,75,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,37,Malay,"RM121,906",Computer Science and IT,12,N/A,N/A,N/A,N/A,3.67,36,Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,43,Malay,"RM58,594",Business and Finance,6,N/A,N/A,N/A,N/A,3.99,74,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,40,Malay,"RM83,401",Law and Social Sciences,9,N/A,N/A,N/A,N/A,3.78,79,Eligible,Accepted
Gamuda Scholarship,UG,19,Malay,"RM60,989",Engineering,8,2.09,N/A,N/A,N/A,N/A,37,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Other,"RM57,967",Computer Science and IT,10,N/A,N/A,3.94,N/A,N/A,62,Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,29,Malay,"RM110,924",Business and Finance,8,N/A,3,N/A,N/A,N/A,41,Not Eligible,Rejected
MARA Scholarship,UG,28,Bumiputera Sabah / Sarawak,"RM81,837",Engineering,9,N/A,N/A,N/A,3.25,N/A,70,Eligible,Accepted
Shell Malaysia Scholarship,UG,19,Chinese,"RM58,089",Sciences,1,N/A,N/A,3.13,N/A,N/A,73,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,20,Indian,"RM104,411",Law and Social Sciences,9,N/A,N/A,3.64,N/A,N/A,64,Eligible,Accepted
MARA Scholarship,UG,33,Bumiputera Sabah / Sarawak,"RM79,543",Business and Finance,12,2.12,N/A,N/A,N/A,N/A,75,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,24,Bumiputera Sabah / Sarawak,"RM22,300",Sciences,9,N/A,N/A,N/A,N/A,3.8,56,Eligible,Accepted
JPA Scholarship,PG,43,Indian,"RM17,327",Law and Social Sciences,9,N/A,N/A,N/A,N/A,3.94,77,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM120,862",Sciences,9,N/A,N/A,N/A,3.86,N/A,50,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,28,Malay,"RM51,078",Sciences,11,N/A,4,N/A,N/A,N/A,57,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,19,Indian,"RM41,627",Computer Science and IT,11,N/A,N/A,3.5,N/A,N/A,67,Eligible,Accepted
Yayasan Khazanah Scholarship ,PG,27,Indian,"RM11,997",Computer Science and IT,10,N/A,N/A,N/A,N/A,3.02,54,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,20,Other,"RM25,292",Business and Finance,10,3.78,N/A,N/A,N/A,N/A,64,Eligible,Accepted
Gamuda Scholarship,UG,18,Indian,"RM78,306",Engineering,11,2.43,N/A,N/A,N/A,N/A,92,Not Eligible,Rejected
JPA Scholarship,UG,18,Chinese,"RM57,596",Law and Social Sciences,9,N/A,5,N/A,N/A,N/A,86,Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,26,Other,"RM30,998",Business and Finance,6,3.87,N/A,N/A,N/A,N/A,68,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,22,Indian,"RM26,977",Engineering,8,N/A,3,N/A,N/A,N/A,79,Eligible,Accepted
Gamuda Scholarship,UG,23,Malay,"RM76,685",Sciences,11,N/A,N/A,3.82,N/A,N/A,86,Not Eligible,Rejected
MARA Scholarship,PG,36,Bumiputera Sabah / Sarawak,"RM219,643",Business and Finance,8,N/A,N/A,N/A,N/A,3.31,71,Eligible,Rejected
MARA Scholarship,UG,42,Malay,"RM136,736",Medicine and Health Care,7,N/A,N/A,N/A,3.91,N/A,72,Not Eligible,Rejected
