Applied Scholarship,Scholarship Level,Age,Race,Household Income,Field of Study,SPM Result (As),STPM CGPA,A-Level (As),Matriculation CGPA,Foundation CGPA,UG CGPA,Co-curricular Score,Eligibility Status,Application Status
MARA Scholarship,UG,42,Malay,"RM15,308",Computer Science and IT,9,N/A,2.0,N/A,N/A,4.0,32,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,30,Chinese,"RM41,880",Sciences,5,N/A,N/A,N/A,2.3,2.48,41,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM12,000",Engineering,9,N/A,4.0,N/A,N/A,N/A,58,Eligible,Accepted
Gamuda Scholarship,UG,18,Malay,"RM14,152",Engineering,5,N/A,1.0,N/A,N/A,N/A,47,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,19,Chinese,"RM56,424",Computer Science and IT,2,N/A,1.0,N/A,N/A,1.34,44,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,25,Malay,"RM44,151",Engineering,6,N/A,N/A,2.86,N/A,2.32,34,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Malay,"RM97,900",Computer Science and IT,3,N/A,2.0,N/A,N/A,N/A,37,Not Eligible,Rejected
MARA Scholarship,UG,39,Malay,"RM41,904",Law and Social Sciences,11,3.71,N/A,N/A,N/A,N/A,58,Eligible,Accepted
Gamuda Scholarship,UG,19,Chinese,"RM71,040",Sciences,7,N/A,N/A,3.78,N/A,3.58,46,Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Malay,"RM95,623",Engineering,1,N/A,1.0,N/A,N/A,N/A,63,Not Eligible,Rejected
JPA Scholarship,PG,23,Chinese,"RM43,678",Computer Science and IT,7,N/A,1.0,N/A,N/A,2.48,36,Not Eligible,Rejected
MARA Scholarship,PG,32,Bumiputera Sabah / Sarawak,"RM22,671",Law and Social Sciences,7,N/A,N/A,2.7,N/A,2.74,40,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,30,Bumiputera Sabah / Sarawak,"RM12,000",Business and Finance,10,N/A,N/A,3.31,N/A,4.0,59,Eligible,Accepted
MARA Scholarship,PG,33,Indian,"RM67,539",Engineering,3,N/A,N/A,N/A,2.19,2.0,38,Not Eligible,Rejected
JPA Scholarship,PG,23,Chinese,"RM80,523",Medicine and Health Care,3,N/A,N/A,1.79,N/A,2.11,60,Not Eligible,Rejected
Gamuda Scholarship,UG,21,Chinese,"RM62,822",Law and Social Sciences,7,N/A,N/A,2.64,N/A,N/A,65,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,30,Indian,"RM28,989",Business and Finance,8,N/A,4.0,N/A,N/A,3.38,39,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Malay,"RM134,936",Engineering,6,N/A,N/A,2.35,N/A,N/A,70,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,19,Chinese,"RM23,951",Law and Social Sciences,4,N/A,2.0,N/A,N/A,N/A,74,Not Eligible,Rejected
Gamuda Scholarship,UG,18,Bumiputera Sabah / Sarawak,"RM23,416",Business and Finance,8,N/A,N/A,2.48,N/A,N/A,68,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,24,Chinese,"RM12,678",Law and Social Sciences,5,N/A,N/A,1.86,N/A,N/A,70,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,23,Chinese,"RM186,232",Medicine and Health Care,3,1.67,N/A,N/A,N/A,2.11,49,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,27,Malay,"RM20,912",Sciences,7,N/A,N/A,2.67,N/A,N/A,68,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Malay,"RM37,178",Computer Science and IT,5,N/A,N/A,1.98,N/A,N/A,43,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,23,Malay,"RM41,933",Business and Finance,7,1.5,N/A,N/A,N/A,2.47,67,Not Eligible,Rejected
JPA Scholarship,PG,30,Malay,"RM48,950",Computer Science and IT,5,N/A,N/A,N/A,2.36,2.7,34,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,25,Malay,"RM17,175",Law and Social Sciences,5,N/A,N/A,N/A,2.01,N/A,38,Not Eligible,Rejected
MARA Scholarship,PG,27,Chinese,"RM17,572",Medicine and Health Care,2,1.15,N/A,N/A,N/A,2.0,50,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,28,Malay,"RM83,589",Sciences,8,N/A,N/A,3.02,N/A,2.85,41,Not Eligible,Rejected
MARA Scholarship,PG,35,Indian,"RM80,839",Sciences,4,N/A,2.0,N/A,N/A,2.75,37,Not Eligible,Rejected
MARA Scholarship,PG,33,Malay,"RM33,011",Law and Social Sciences,3,2.24,N/A,N/A,N/A,2.13,80,Not Eligible,Rejected
MARA Scholarship,UG,22,Malay,"RM87,601",Business and Finance,6,2.22,N/A,N/A,N/A,N/A,83,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,19,Malay,"RM87,826",Business and Finance,5,1.71,N/A,N/A,N/A,N/A,38,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,19,Malay,"RM28,069",Medicine and Health Care,8,N/A,N/A,N/A,2.92,N/A,51,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,21,Malay,"RM12,000",Computer Science and IT,7,N/A,N/A,N/A,3.31,3.17,59,Eligible,Accepted
Shell Malaysia Scholarship,UG,19,Malay,"RM56,196",Business and Finance,9,N/A,N/A,N/A,3.85,N/A,59,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,19,Chinese,"RM47,998",Computer Science and IT,6,2.72,N/A,N/A,N/A,N/A,38,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,31,Malay,"RM37,903",Engineering,9,N/A,N/A,3.08,N/A,3.27,36,Not Eligible,Rejected
MARA Scholarship,UG,27,Malay,"RM67,720",Sciences,5,2.71,N/A,N/A,N/A,2.92,45,Not Eligible,Rejected
JPA Scholarship,UG,18,Chinese,"RM160,609",Law and Social Sciences,5,N/A,N/A,2.39,N/A,N/A,82,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Malay,"RM84,126",Engineering,5,N/A,3.0,N/A,N/A,N/A,38,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,23,Indian,"RM142,091",Sciences,10,N/A,N/A,3.7,N/A,3.57,60,Eligible,Accepted
MARA Scholarship,UG,20,Chinese,"RM71,888",Business and Finance,9,N/A,N/A,N/A,3.76,2.73,34,Not Eligible,Rejected
JPA Scholarship,UG,18,Malay,"RM13,842",Business and Finance,7,2.83,N/A,N/A,N/A,N/A,44,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,20,Chinese,"RM106,237",Law and Social Sciences,8,N/A,N/A,N/A,3.71,N/A,46,Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,30,Chinese,"RM42,415",Engineering,8,N/A,3.0,N/A,N/A,3.25,50,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,26,Chinese,"RM34,049",Law and Social Sciences,4,2.45,N/A,N/A,N/A,3.05,56,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,30,Chinese,"RM120,289",Engineering,7,2.93,N/A,N/A,N/A,2.72,39,Not Eligible,Rejected
MARA Scholarship,UG,37,Malay,"RM52,601",Computer Science and IT,8,N/A,2.0,N/A,N/A,N/A,60,Eligible,Accepted
MARA Scholarship,UG,25,Indian,"RM19,479",Medicine and Health Care,5,2.53,N/A,N/A,N/A,2.61,42,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM80,988",Law and Social Sciences,8,3.4,N/A,N/A,N/A,3.5,42,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,24,Malay,"RM77,364",Sciences,4,N/A,1.0,N/A,N/A,2.04,81,Not Eligible,Rejected
MARA Scholarship,PG,28,Chinese,"RM69,328",Sciences,6,2.4,N/A,N/A,N/A,2.36,33,Not Eligible,Rejected
Gamuda Scholarship,UG,18,Malay,"RM13,535",Computer Science and IT,8,N/A,N/A,N/A,2.83,N/A,79,Not Eligible,Rejected
MARA Scholarship,UG,29,Malay,"RM37,190",Business and Finance,8,N/A,N/A,N/A,2.68,N/A,49,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,25,Malay,"RM72,026",Computer Science and IT,4,N/A,N/A,2.23,N/A,2.22,51,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM33,071",Business and Finance,8,N/A,N/A,N/A,2.85,2.11,35,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,19,Malay,"RM67,787",Sciences,8,N/A,N/A,N/A,2.84,N/A,44,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,19,Malay,"RM51,921",Computer Science and IT,4,N/A,N/A,2.13,N/A,N/A,52,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,20,Chinese,"RM44,446",Computer Science and IT,6,N/A,N/A,3.44,N/A,N/A,60,Eligible,Accepted
MARA Scholarship,UG,19,Malay,"RM146,288",Sciences,9,N/A,N/A,3.1,N/A,N/A,61,Eligible,Accepted
Yayasan Khazanah Scholarship ,PG,39,Malay,"RM39,852",Business and Finance,7,N/A,N/A,N/A,3.35,3.06,42,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,23,Malay,"RM53,967",Engineering,10,N/A,4.0,N/A,N/A,3.61,46,Eligible,Rejected
JPA Scholarship,PG,29,Chinese,"RM12,000",Law and Social Sciences,4,N/A,1.0,N/A,N/A,2.82,43,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Chinese,"RM35,090",Medicine and Health Care,5,N/A,N/A,N/A,2.19,N/A,84,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,19,Bumiputera Sabah / Sarawak,"RM91,046",Computer Science and IT,8,N/A,N/A,N/A,3.25,N/A,36,Not Eligible,Rejected
MARA Scholarship,UG,33,Malay,"RM12,000",Engineering,4,N/A,N/A,N/A,2.36,N/A,50,Not Eligible,Rejected
MARA Scholarship,UG,33,Bumiputera Sabah / Sarawak,"RM51,201",Engineering,3,2.24,N/A,N/A,N/A,1.67,34,Not Eligible,Rejected
Gamuda Scholarship,UG,18,Malay,"RM21,195",Business and Finance,9,N/A,3.0,N/A,N/A,N/A,46,Eligible,Rejected
JPA Scholarship,UG,18,Chinese,"RM49,820",Sciences,5,N/A,2.0,N/A,N/A,N/A,48,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Malay,"RM82,906",Sciences,8,N/A,N/A,3.42,N/A,3.38,47,Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,18,Bumiputera Sabah / Sarawak,"RM27,588",Engineering,3,N/A,N/A,N/A,2.44,N/A,37,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,30,Chinese,"RM44,050",Business and Finance,2,N/A,N/A,1.41,N/A,2.0,63,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Chinese,"RM77,833",Medicine and Health Care,11,N/A,N/A,N/A,3.74,N/A,62,Eligible,Accepted
Shell Malaysia Scholarship,UG,18,Malay,"RM75,481",Engineering,9,N/A,N/A,3.35,N/A,N/A,62,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,19,Chinese,"RM195,863",Computer Science and IT,8,N/A,N/A,N/A,4.0,N/A,47,Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,26,Malay,"RM89,875",Law and Social Sciences,7,N/A,3.0,N/A,N/A,2.8,74,Not Eligible,Rejected
Gamuda Scholarship,UG,18,Chinese,"RM82,611",Sciences,2,N/A,2.0,N/A,N/A,2.46,46,Not Eligible,Rejected
JPA Scholarship,PG,24,Malay,"RM64,799",Medicine and Health Care,9,N/A,N/A,N/A,3.24,2.57,49,Not Eligible,Rejected
JPA Scholarship,UG,18,Indian,"RM35,476",Engineering,3,N/A,1.0,N/A,N/A,N/A,40,Not Eligible,Rejected
JPA Scholarship,UG,19,Malay,"RM12,000",Engineering,3,N/A,2.0,N/A,N/A,1.91,42,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,22,Malay,"RM16,407",Business and Finance,8,N/A,N/A,N/A,3.93,N/A,47,Eligible,Rejected
JPA Scholarship,UG,19,Indian,"RM63,925",Sciences,7,N/A,N/A,N/A,2.62,N/A,49,Not Eligible,Rejected
JPA Scholarship,UG,21,Malay,"RM58,501",Computer Science and IT,6,N/A,1.0,N/A,N/A,N/A,42,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,18,Bumiputera Sabah / Sarawak,"RM120,389",Sciences,6,N/A,1.0,N/A,N/A,N/A,43,Not Eligible,Rejected
JPA Scholarship,UG,18,Malay,"RM85,268",Law and Social Sciences,9,N/A,N/A,2.95,N/A,3.39,63,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM68,817",Medicine and Health Care,10,N/A,N/A,N/A,3.31,N/A,30,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,20,Malay,"RM83,806",Business and Finance,6,2.38,N/A,N/A,N/A,2.27,43,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,40,Malay,"RM97,818",Engineering,10,N/A,3.0,N/A,N/A,3.81,47,Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,38,Bumiputera Sabah / Sarawak,"RM26,211",Computer Science and IT,7,N/A,N/A,N/A,3.38,3.27,39,Not Eligible,Rejected
JPA Scholarship,UG,19,Bumiputera Sabah / Sarawak,"RM73,110",Sciences,1,N/A,N/A,0.66,N/A,N/A,45,Not Eligible,Rejected
JPA Scholarship,UG,19,Malay,"RM20,428",Computer Science and IT,7,N/A,1.0,N/A,N/A,N/A,62,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,23,Other,"RM77,193",Computer Science and IT,5,N/A,N/A,2.39,N/A,2.36,59,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,20,Malay,"RM30,244",Computer Science and IT,7,N/A,2.0,N/A,N/A,2.32,57,Not Eligible,Rejected
MARA Scholarship,UG,30,Malay,"RM132,724",Computer Science and IT,8,3.73,N/A,N/A,N/A,N/A,63,Eligible,Accepted
Yayasan Sime Darby Scholarship ,UG,19,Malay,"RM82,840",Sciences,8,N/A,N/A,N/A,2.97,2.98,35,Not Eligible,Rejected
Gamuda Scholarship,UG,21,Malay,"RM46,766",Sciences,6,N/A,2.0,N/A,N/A,2.28,73,Not Eligible,Rejected
JPA Scholarship,PG,28,Chinese,"RM83,570",Sciences,9,N/A,3.0,N/A,N/A,3.44,47,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,21,Malay,"RM43,356",Business and Finance,7,3.42,N/A,N/A,N/A,N/A,47,Eligible,Rejected
Shell Malaysia Scholarship,UG,21,Malay,"RM23,034",Sciences,5,N/A,N/A,N/A,2.4,N/A,36,Not Eligible,Rejected
Gamuda Scholarship,UG,18,Malay,"RM59,442",Engineering,5,N/A,N/A,N/A,2.93,N/A,48,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,37,Malay,"RM121,577",Computer Science and IT,8,3.57,N/A,N/A,N/A,3.46,38,Not Eligible,Rejected
Gamuda Scholarship,UG,18,Malay,"RM129,629",Law and Social Sciences,4,N/A,N/A,N/A,1.84,N/A,43,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,19,Malay,"RM98,620",Business and Finance,5,N/A,N/A,N/A,2.14,N/A,45,Not Eligible,Rejected
MARA Scholarship,PG,27,Bumiputera Sabah / Sarawak,"RM39,936",Computer Science and IT,5,N/A,N/A,N/A,2.61,2.82,52,Not Eligible,Rejected
JPA Scholarship,PG,28,Malay,"RM193,597",Computer Science and IT,10,N/A,N/A,N/A,3.64,3.65,74,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,20,Chinese,"RM25,116",Sciences,8,N/A,N/A,3.77,N/A,N/A,47,Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,23,Indian,"RM51,420",Engineering,6,N/A,3.0,N/A,N/A,2.77,63,Eligible,Accepted
JPA Scholarship,PG,24,Malay,"RM26,401",Law and Social Sciences,9,3.88,N/A,N/A,N/A,4.0,47,Eligible,Rejected
Gamuda Scholarship,UG,18,Malay,"RM23,807",Law and Social Sciences,8,N/A,N/A,N/A,3.32,N/A,72,Not Eligible,Rejected
Gamuda Scholarship,UG,18,Malay,"RM124,766",Engineering,8,N/A,N/A,3.18,N/A,N/A,51,Not Eligible,Rejected
MARA Scholarship,UG,36,Chinese,"RM88,524",Engineering,10,N/A,4.0,N/A,N/A,N/A,67,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,23,Malay,"RM63,097",Business and Finance,6,N/A,N/A,2.91,N/A,N/A,48,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,19,Malay,"RM37,356",Sciences,4,N/A,N/A,2.3,N/A,2.81,59,Not Eligible,Rejected
JPA Scholarship,UG,19,Malay,"RM48,237",Sciences,8,N/A,N/A,N/A,2.85,N/A,45,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Indian,"RM124,213",Engineering,7,N/A,N/A,N/A,2.78,N/A,35,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,21,Malay,"RM46,193",Computer Science and IT,3,N/A,N/A,1.82,N/A,N/A,55,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,25,Malay,"RM110,795",Law and Social Sciences,6,2.86,N/A,N/A,N/A,N/A,64,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,26,Bumiputera Sabah / Sarawak,"RM80,342",Engineering,6,2.04,N/A,N/A,N/A,2.11,68,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,UG,20,Bumiputera Sabah / Sarawak,"RM51,730",Sciences,5,2.97,N/A,N/A,N/A,N/A,40,Not Eligible,Rejected
JPA Scholarship,UG,19,Malay,"RM107,102",Computer Science and IT,8,N/A,N/A,3.49,N/A,N/A,70,Not Eligible,Rejected
Gamuda Scholarship,UG,18,Indian,"RM61,200",Business and Finance,6,2.79,N/A,N/A,N/A,N/A,52,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Chinese,"RM46,311",Sciences,6,3.5,N/A,N/A,N/A,N/A,78,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Chinese,"RM18,055",Engineering,6,2.34,N/A,N/A,N/A,N/A,45,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,19,Malay,"RM143,888",Business and Finance,6,N/A,N/A,N/A,2.5,N/A,92,Not Eligible,Rejected
MARA Scholarship,UG,24,Malay,"RM38,142",Law and Social Sciences,9,N/A,3.0,N/A,N/A,N/A,47,Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,25,Malay,"RM82,775",Medicine and Health Care,3,1.83,N/A,N/A,N/A,2.0,64,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,18,Indian,"RM81,669",Business and Finance,8,2.91,N/A,N/A,N/A,N/A,67,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,20,Malay,"RM91,262",Sciences,6,N/A,0.0,N/A,N/A,N/A,45,Not Eligible,Rejected
JPA Scholarship,UG,18,Malay,"RM40,388",Law and Social Sciences,3,1.47,N/A,N/A,N/A,1.32,56,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,25,Chinese,"RM98,222",Medicine and Health Care,6,N/A,2.0,N/A,N/A,2.61,55,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,32,Malay,"RM23,273",Medicine and Health Care,8,N/A,N/A,N/A,3.27,2.72,80,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,21,Malay,"RM30,382",Business and Finance,9,N/A,N/A,N/A,3.67,N/A,63,Eligible,Accepted
Bank Negara Malaysia Kijang Scholarship,UG,19,Malay,"RM57,452",Sciences,9,N/A,N/A,N/A,3.35,N/A,53,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,19,Chinese,"RM49,437",Law and Social Sciences,7,N/A,1.0,N/A,N/A,N/A,44,Not Eligible,Rejected
MARA Scholarship,UG,22,Chinese,"RM48,023",Business and Finance,3,2.36,N/A,N/A,N/A,1.69,36,Not Eligible,Rejected
MARA Scholarship,PG,24,Indian,"RM15,951",Engineering,11,3.36,N/A,N/A,N/A,3.39,42,Not Eligible,Rejected
Gamuda Scholarship,UG,19,Malay,"RM46,579",Business and Finance,4,N/A,N/A,2.16,N/A,2.12,38,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Malay,"RM24,237",Engineering,7,N/A,N/A,N/A,3.23,3.22,41,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,18,Malay,"RM12,000",Engineering,3,N/A,N/A,2.5,N/A,N/A,85,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,37,Chinese,"RM189,685",Computer Science and IT,4,N/A,3.0,N/A,N/A,2.26,53,Not Eligible,Rejected
JPA Scholarship,UG,18,Chinese,"RM39,265",Law and Social Sciences,6,N/A,1.0,N/A,N/A,N/A,52,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Chinese,"RM12,000",Medicine and Health Care,11,N/A,N/A,4.0,N/A,3.7,47,Eligible,Rejected
JPA Scholarship,PG,30,Malay,"RM97,951",Medicine and Health Care,5,N/A,N/A,2.11,N/A,2.89,44,Not Eligible,Rejected
MARA Scholarship,PG,42,Malay,"RM47,392",Computer Science and IT,9,N/A,3.0,N/A,N/A,3.8,48,Not Eligible,Rejected
JPA Scholarship,UG,19,Bumiputera Sabah / Sarawak,"RM13,584",Computer Science and IT,6,N/A,N/A,N/A,1.64,N/A,48,Not Eligible,Rejected
JPA Scholarship,PG,26,Malay,"RM52,473",Law and Social Sciences,7,N/A,N/A,N/A,2.9,2.0,37,Not Eligible,Rejected
Gamuda Scholarship,UG,18,Chinese,"RM24,462",Business and Finance,6,N/A,N/A,N/A,3.51,N/A,47,Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,25,Indian,"RM57,344",Computer Science and IT,7,N/A,N/A,N/A,2.41,2.35,42,Not Eligible,Rejected
MARA Scholarship,PG,39,Malay,"RM99,626",Law and Social Sciences,5,N/A,N/A,1.89,N/A,2.0,46,Not Eligible,Rejected
JPA Scholarship,UG,18,Indian,"RM29,732",Engineering,8,2.44,N/A,N/A,N/A,N/A,36,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Chinese,"RM84,925",Law and Social Sciences,6,N/A,N/A,N/A,2.86,N/A,49,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM74,677",Medicine and Health Care,1,N/A,N/A,N/A,1.46,N/A,36,Not Eligible,Rejected
MARA Scholarship,UG,22,Malay,"RM14,953",Computer Science and IT,6,N/A,1.0,N/A,N/A,N/A,47,Eligible,Rejected
Gamuda Scholarship,UG,18,Chinese,"RM92,074",Engineering,6,1.55,N/A,N/A,N/A,N/A,37,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,18,Bumiputera Sabah / Sarawak,"RM41,973",Business and Finance,10,N/A,N/A,N/A,4.0,N/A,63,Eligible,Accepted
Yayasan Khazanah Scholarship ,PG,32,Bumiputera Sabah / Sarawak,"RM116,975",Business and Finance,7,3.61,N/A,N/A,N/A,4.0,63,Eligible,Accepted
Petronas Education Sponsorship Programme ,UG,19,Malay,"RM36,270",Law and Social Sciences,3,N/A,N/A,2.29,N/A,N/A,46,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,29,Chinese,"RM71,429",Computer Science and IT,7,N/A,3.0,N/A,N/A,3.41,74,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,19,Chinese,"RM12,000",Sciences,7,2.83,N/A,N/A,N/A,2.31,37,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,24,Bumiputera Sabah / Sarawak,"RM78,302",Business and Finance,7,N/A,N/A,3.52,N/A,3.62,47,Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Malay,"RM100,965",Law and Social Sciences,9,2.68,N/A,N/A,N/A,N/A,64,Eligible,Accepted
Yayasan Khazanah Scholarship ,PG,33,Malay,"RM50,716",Law and Social Sciences,5,N/A,N/A,2.17,N/A,2.0,36,Not Eligible,Rejected
JPA Scholarship,UG,19,Malay,"RM103,295",Engineering,6,N/A,N/A,3.24,N/A,N/A,72,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,PG,35,Bumiputera Sabah / Sarawak,"RM27,377",Medicine and Health Care,2,1.54,N/A,N/A,N/A,2.0,45,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,25,Malay,"RM124,270",Computer Science and IT,6,3.05,N/A,N/A,N/A,3.51,47,Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,19,Indian,"RM21,096",Sciences,4,N/A,2.0,N/A,N/A,N/A,41,Not Eligible,Rejected
JPA Scholarship,PG,24,Malay,"RM17,724",Medicine and Health Care,2,1.39,N/A,N/A,N/A,2.3,76,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,19,Indian,"RM12,000",Sciences,8,N/A,4.0,N/A,N/A,N/A,65,Eligible,Accepted
Yayasan Khazanah Scholarship ,UG,18,Bumiputera Sabah / Sarawak,"RM42,866",Engineering,6,2.87,N/A,N/A,N/A,2.22,76,Not Eligible,Rejected
JPA Scholarship,UG,18,Malay,"RM128,654",Law and Social Sciences,9,N/A,N/A,2.87,N/A,N/A,75,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Malay,"RM133,317",Business and Finance,6,N/A,3.0,N/A,N/A,3.41,38,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,19,Chinese,"RM24,335",Engineering,8,N/A,3.0,N/A,N/A,N/A,42,Not Eligible,Rejected
JPA Scholarship,PG,24,Malay,"RM189,244",Sciences,5,3.0,N/A,N/A,N/A,3.19,38,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,18,Malay,"RM57,894",Law and Social Sciences,8,2.4,N/A,N/A,N/A,N/A,65,Eligible,Accepted
MARA Scholarship,PG,36,Chinese,"RM115,359",Law and Social Sciences,7,3.0,N/A,N/A,N/A,3.02,73,Not Eligible,Rejected
Shell Malaysia Scholarship,UG,23,Malay,"RM71,661",Sciences,7,N/A,N/A,N/A,3.66,3.74,46,Not Eligible,Rejected
Petronas Education Sponsorship Programme ,UG,19,Bumiputera Sabah / Sarawak,"RM69,938",Business and Finance,9,N/A,2.0,N/A,N/A,2.76,41,Not Eligible,Rejected
Yayasan Sime Darby Scholarship ,PG,23,Chinese,"RM218,650",Business and Finance,7,N/A,N/A,N/A,3.69,3.95,50,Not Eligible,Rejected
Bank Negara Malaysia Kijang Scholarship,UG,18,Malay,"RM52,547",Business and Finance,7,N/A,N/A,3.49,N/A,N/A,50,Not Eligible,Rejected
MARA Scholarship,PG,43,Malay,"RM41,370",Computer Science and IT,6,3.14,N/A,N/A,N/A,3.06,37,Not Eligible,Rejected
Yayasan Khazanah Scholarship ,UG,18,Bumiputera Sabah / Sarawak,"RM60,004",Computer Science and IT,7,N/A,N/A,N/A,2.72,N/A,46,Not Eligible,Rejected
JPA Scholarship,PG,27,Chinese,"RM16,827",Business and Finance,5,N/A,2.0,N/A,N/A,2.3,42,Not Eligible,Rejected
MARA Scholarship,PG,31,Chinese,"RM198,563",Sciences,8,3.8,N/A,N/A,N/A,3.64,72,Not Eligible,Rejected
Gamuda Scholarship,UG,18,Other,"RM12,000",Engineering,7,N/A,3.0,N/A,N/A,N/A,65,Eligible,Accepted
JPA Scholarship,PG,23,Malay,"RM62,971",Engineering,7,3.08,N/A,N/A,N/A,3.19,53,Not Eligible,Rejected
